,distance ebtda-margin and price,distance gross-profit-margin and price,distance cogs-margin and price,distance eps-earnings-per-share-diluted and price,distance all-fundamental-variables and price,price-pairs
AUB_CCOI,0.9101796382403933,,,,,
BOKF_SLM,0.9101778852880562,,,,,
BLKB_LARK,0.9099781620277445,,,,,
ARWR_OFLX,0.9099724793091146,,,,,
ITIC_WERN,0.9096451427952349,,,,,
CCOI_THRM,0.909051634497024,,,,,
DHIL_FCCO,0.9090427116366542,,,,,
BOKF_FBIZ,0.9087892043372663,,,,,
CCOI_PSEC,0.908736191017508,,,,,
CGO_INTU,0.9087016919667116,,,,,
AUB_NATH,0.9086720095484548,,,,,
HFWA_NWFL,0.9086557421494085,,,,,
DHIL_NATH,0.9084670478816741,,,,,
DHIL_EBTC,0.9082376598436912,,,,,
BLKB_CIVB,0.9081611216097801,,,,,
CGO_GOOGL,0.9079204397347181,,,,,
THRM_UBOH,0.9078797514351249,,,,,
IMKTA_NSIT,0.9076389162510704,,,,,
EML_SHEN,0.9076216176815664,,,,,
EA_FCCO,0.9076007843370878,,,,,
HSKA_PCYO,0.9073802306345937,,,,,
BLKB_EFSC,0.9073303578479242,,,,,
DHIL_EA,0.9072719834790687,,,,,
LARK_NATH,0.9072226023605068,,,,,
INTU_THRM,0.9070444333657209,,,,,
CHI_EA,0.9069865361386359,,,,,
COHR_OFLX,0.9068306828048432,,,,,
EXLS_WERN,0.9068117305699207,,,,,
ESLT_PCYO,0.9067173446318335,,,,,
BRKL_SHBI,0.9067093914879694,,,,,
ICFI_PCYO,0.906646419985132,,,,,
GOOGL_VICR,0.9066120954239733,,,,,
GOOGL_LKQ,0.906607122881466,,,,,
GOOGL_THRM,0.9065364056717536,,,,,
CIVB_NWFL,0.9064708005187411,,,,,
PEBO_TRMK,0.9064273517414605,,,,,
NTRS_TRMK,0.9063680760208975,,,,,
HSKA_SBUX,0.9062655946512171,,,,,
CCOI_UBOH,0.9062480232765255,,,,,
CALM_DHIL,0.9061867549322861,,,,,
CBSH_HBNC,0.905834335122504,,,,,
CHI_PCYO,0.9057697628089015,,,,,
MTCH_OFLX,0.9057681876948118,,,,,
CBSH_WERN,0.9056102314898038,,,,,
BRKL_CBSH,0.905507201044852,,,,,
DHIL_SLM,0.905257277953812,,,,,
CSWC_EA,0.9049887695695465,,,,,
AGNC_ITIC,0.9048556193479076,,,,,
DHIL_IMKTA,0.9047762226302773,,,,,
NSYS_PSEC,0.9041481031919101,,,,,
FNLC_ICFI,0.9040383959371732,,,,,
BOKF_IMKTA,0.903893347946384,,,,,
FELE_IMKTA,0.9038477651196302,,,,,
AGNC_SHEN,0.903821548267382,,,,,
CCOI_EFSC,0.9038127239658749,,,,,
HBNC_TCX,0.9036037133735741,,,,,
CSWC_IMKTA,0.9034768295691697,,,,,
EA_ICFI,0.9033645503384724,,,,,
CALM_SSB,0.9029172052288532,,,,,
DHIL_ONB,0.9027835929012874,,,,,
BOKF_ICFI,0.9027772075730527,,,,,
ONB_SBUX,0.902644862892567,,,,,
PSEC_WERN,0.9025793890237644,,,,,
ICFI_IMKTA,0.9024509553940568,,,,,
CHI_EXLS,0.9022132320792733,,,,,
PCYO_PLXS,0.9019181389165584,,,,,
AGNC_HBNC,0.9018974820967887,,,,,
FCCO_UBOH,0.9017367279991776,,,,,
OFLX_PLXS,0.9016615367433793,,,,,
CCOI_SCVL,0.9015505330959598,,,,,
CPSS_ECPG,0.9014941944515047,0.9014941944515047,0.9014941944515047,0.9014941944515047,0.9014941944515047,0.9014941944515047
CBSH_THRM,0.9014417230735914,,,,,
DHIL_SSB,0.9013938419024586,,,,,
CIVB_DHIL,0.9013530361063636,,,,,
CHI_HSKA,0.9012818661637458,0.9012818661637458,0.9012818661637458,0.9012818661637458,0.9012818661637458,0.9012818661637458
PEBO_UBOH,0.9011886987233921,,,,,
FNLC_HFWA,0.9011145344234116,,,,,
EBTC_SSB,0.9010842673779127,,,,,
ONB_PCYO,0.9009665241418822,,,,,
NFLX_THRM,0.9005623282099497,,,,,
SCVL_WERN,0.9003165872676915,,,,,
GOOGL_NVDA,0.9003136764693073,,,,,
BLKB_SSB,0.900226358919613,,,,,
NTRS_SHEN,0.9001614401325088,,,,,
CBSH_HFWA,0.9001072359257745,,,,,
LKQ_LMAT,0.9001016880626281,,,,,
EXLS_SBUX,0.8999154245111299,,,,,
BOKF_EXLS,0.8999032542323344,,,,,
GOOGL_PCYO,0.899550293097921,,,,,
ITIC_LMAT,0.8993942695303774,,,,,
BRKL_LARK,0.8992620862731898,,,,,
LARK_THRM,0.8992134886188189,,,,,
FELE_SCVL,0.8991848117831055,,,,,
NWFL_PEBO,0.8991146900389847,,,,,
CCOI_SLM,0.8990243482346204,,,,,
NSIT_PRFT,0.8989262590998748,,,,,
NATH_NWFL,0.8987368750686845,,,,,
DHIL_ESLT,0.8987164905550398,,,,,
CPLP_PALI,0.898459731745829,,,,,
ITIC_NATH,0.8984162072663827,,,,,
BOKF_CSWC,0.8983575566746071,,,,,
INCY_SSB,0.8983537242569382,,,,,
CALM_FCCO,0.8981243606577839,,,,,
AGNC_PFC,0.8977815925139428,,,,,
COHR_MTCH,0.8977458046827962,,,,,
LKQ_NSIT,0.8975886052234555,,,,,
AGNC_LARK,0.8975610629239203,,,,,
CCOI_CIVB,0.8973922107288841,,,,,
COHR_VICR,0.8973223836821719,,,,,
PRFT_SLM,0.8972236942207023,,,,,
HSKA_INTU,0.8971007396445662,,,,,
ITIC_PLXS,0.897036414948836,,,,,
CGO_EA,0.8970010504150925,,,,,
EA_GOOGL,0.8968780339413095,,,,,
SMTC_VICR,0.8968309376978593,,,,,
BOKF_NTRS,0.8967807950624923,,,,,
NSYS_SLM,0.8966886317524491,,,,,
HBNC_HFWA,0.8965486835446819,,,,,
CSWC_THRM,0.8965208748186306,,,,,
AGNC_NTRS,0.8964318670648691,,,,,
HBNC_TRST,0.8963780900452739,,,,,
LMAT_PSEC,0.8963326611022622,,,,,
BRKL_WNEB,0.8961140094830147,,,,,
ITIC_SHEN,0.8961085412372526,,,,,
EXLS_PRFT,0.8955708945455125,,,,,
